Gen   | Best Fit     | Avg Fit      | Uncorr     | Info(Raw)    | Info(Norm) | Cond      
---------------------------------------------------------------------------
0     | 1.7560       | 1.4441       | 0.7844     | 101.16       | 1.0000     | 0.8582    
1     | 1.7352       | 1.4735       | 0.7633     | 102.13       | 1.0000     | 0.8593    
2     | 1.7300       | 1.4944       | 0.7574     | 102.40       | 1.0000     | 0.8630    
3     | 1.7567       | 1.5149       | 0.7858     | 103.06       | 1.0000     | 0.8545    
4     | 1.7605       | 1.4917       | 0.7872     | 105.10       | 1.0000     | 0.8666    
5     | 1.7605       | 1.5091       | 0.7872     | 105.10       | 1.0000     | 0.8666    
6     | 1.7605       | 1.5287       | 0.7872     | 105.10       | 1.0000     | 0.8666    
7     | 1.7575       | 1.5308       | 0.7872     | 105.10       | 0.9963     | 0.8666    
8     | 1.7575       | 1.5498       | 0.7872     | 105.10       | 0.9963     | 0.8666    
9     | 1.7594       | 1.5426       | 0.8069     | 104.73       | 0.9743     | 0.8650    
10    | 1.7762       | 1.5509       | 0.8019     | 105.58       | 1.0000     | 0.8712    
11    | 1.7778       | 1.5427       | 0.8109     | 105.44       | 0.9921     | 0.8661    
12    | 1.7778       | 1.5579       | 0.8109     | 105.44       | 0.9921     | 0.8661    
13    | 1.7778       | 1.5654       | 0.8109     | 105.44       | 0.9921     | 0.8661    
14    | 1.7964       | 1.5030       | 0.8223     | 107.56       | 1.0000     | 0.8705    
15    | 1.7964       | 1.5030       | 0.8223     | 107.56       | 1.0000     | 0.8705    
16    | 1.7964       | 1.5291       | 0.8223     | 107.56       | 1.0000     | 0.8705    
17    | 1.8004       | 1.5411       | 0.8255     | 108.31       | 1.0000     | 0.8744    
18    | 1.8004       | 1.5457       | 0.8255     | 108.31       | 1.0000     | 0.8744    
19    | 1.8004       | 1.5480       | 0.8255     | 108.31       | 1.0000     | 0.8744    
20    | 1.8004       | 1.5466       | 0.8255     | 108.31       | 1.0000     | 0.8744    
21    | 1.8004       | 1.5504       | 0.8255     | 108.31       | 1.0000     | 0.8744    
22    | 1.8009       | 1.5623       | 0.8275     | 108.59       | 1.0000     | 0.8668    
23    | 1.8009       | 1.5579       | 0.8275     | 108.59       | 1.0000     | 0.8668    
24    | 1.8009       | 1.5406       | 0.8275     | 108.59       | 1.0000     | 0.8668    
25    | 1.8009       | 1.5479       | 0.8275     | 108.59       | 1.0000     | 0.8668    
26    | 1.8009       | 1.5565       | 0.8275     | 108.59       | 1.0000     | 0.8668    
27    | 1.8079       | 1.5571       | 0.8326     | 108.75       | 1.0000     | 0.8766    
28    | 1.8079       | 1.5669       | 0.8326     | 108.75       | 1.0000     | 0.8766    
29    | 1.8079       | 1.5654       | 0.8326     | 108.75       | 1.0000     | 0.8766    
30    | 1.8079       | 1.5768       | 0.8326     | 108.75       | 1.0000     | 0.8766    
31    | 1.8079       | 1.5714       | 0.8326     | 108.75       | 1.0000     | 0.8766    
32    | 1.8079       | 1.5861       | 0.8326     | 108.75       | 1.0000     | 0.8766    
33    | 1.8079       | 1.5857       | 0.8326     | 108.75       | 1.0000     | 0.8766    
34    | 1.8079       | 1.5646       | 0.8326     | 108.75       | 1.0000     | 0.8766    
35    | 1.8079       | 1.5696       | 0.8326     | 108.75       | 1.0000     | 0.8766    
36    | 1.8079       | 1.5477       | 0.8326     | 108.75       | 1.0000     | 0.8766    
37    | 1.8079       | 1.5585       | 0.8326     | 108.75       | 1.0000     | 0.8766    
38    | 1.8079       | 1.5652       | 0.8326     | 108.75       | 1.0000     | 0.8766    
39    | 1.8079       | 1.5642       | 0.8326     | 108.75       | 1.0000     | 0.8766    
40    | 1.8079       | 1.5803       | 0.8326     | 108.75       | 1.0000     | 0.8766    
41    | 1.8079       | 1.5939       | 0.8326     | 108.75       | 1.0000     | 0.8766    
42    | 1.8079       | 1.5858       | 0.8326     | 108.75       | 1.0000     | 0.8766    
43    | 1.8079       | 1.5945       | 0.8326     | 108.75       | 1.0000     | 0.8766    
44    | 1.8078       | 1.5784       | 0.8324     | 109.37       | 1.0000     | 0.8773    
45    | 1.8078       | 1.5870       | 0.8324     | 109.37       | 1.0000     | 0.8773    
46    | 1.8078       | 1.5781       | 0.8324     | 109.37       | 1.0000     | 0.8773    
47    | 1.8078       | 1.5873       | 0.8324     | 109.37       | 1.0000     | 0.8773    
48    | 1.8078       | 1.5568       | 0.8324     | 109.37       | 1.0000     | 0.8773    
49    | 1.8078       | 1.5515       | 0.8324     | 109.37       | 1.0000     | 0.8773    
